"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"PRCH","NASD","Porch Group Inc","Financial","Insurance - Property & Casualty",1834.48,16.16,2.54%,1803441,1893.10,0.95,2.54%,17.53%,56.44%,118.67%,77.00%,4.26%,4.32%,38.10%,136.73%,18.10%,,-5.38%,71.16%,17.92%,14.34%,22.67%,59.15%,-0.49%
"FWRD","NASD","Forward Air Corp","Industrials","Integrated Freight & Logistics",658.38,19.49,4.78%,631484,1144.23,0.55,26.48%,52.38%,112.19%,-35.14%,-22.04%,-33.07%,8.01%,64.07%,-1443.46%,8.76%,,-4.22%,75.26%,8.15%,23.66%,39.37%,-0.62%,3.45%
"W","NYSE","Wayfair Inc","Consumer Cyclical","Internet Retail",14099.50,102.94,-0.25%,3487916,3882.05,0.90,-4.30%,16.00%,70.18%,14.37%,2.52%,37.93%,5.20%,9.06%,-106.53%,7.52%,24.37%,0.07%,88.57%,11.56%,8.91%,16.46%,16.68%,-1.73%
"CMPS","NASD","Compass Pathways Plc ADR","Healthcare","Medical Care Facilities",1929.94,14.22,6.28%,4081116,4028.09,1.01,4.71%,6.20%,51.76%,126.07%,106.09%,236.97%,7.12%,26.83%,-352.05%,,27.56%,34.63%,67.16%,10.53%,16.57%,12.91%,67.41%,3.42%
"BBNX","NASD","Beta Bionics Inc","Healthcare","Medical Devices",779.67,17.33,-1.65%,637903,1086.84,0.59,24.59%,2.79%,76.48%,17.25%,-43.12%,21.87%,9.31%,-18.27%,-35.38%,37.76%,2.75%,-3.12%,102.82%,22.57%,9.97%,12.56%,-0.12%,-1.08%
"TNDM","NASD","Tandem Diabetes Care Inc","Healthcare","Medical Devices",1630.92,23.44,0.00%,1652759,2405.63,0.69,19.65%,50.84%,59.56%,19.96%,6.64%,111.08%,10.78%,54.17%,60.75%,5.59%,,7.25%,115.77%,17.44%,22.47%,34.92%,21.66%,1.21%
"MMED","NASD","MiniMed Group Inc","Healthcare","Medical Instruments & Supplies",5813.45,20.70,4.65%,1311236,1077.33,1.22,11.53%,37.63%,74.10%,,8.66%,,4.61%,151.04%,,,,10.87%,13.06%,23.15%,14.85%,28.88%,39.86%,5.61%
"PBF","NYSE","PBF Energy Inc","Energy","Oil & Gas Refining & Marketing",8337.88,70.34,1.43%,2281670,2919.17,0.78,14.99%,15.52%,65.78%,104.00%,159.37%,220.60%,6.69%,498.91%,16421.43%,56.23%,,4.19%,86.28%,10.95%,8.39%,32.28%,70.74%,2.08%
"COMP","NYSE","Compass Inc","Real Estate","Real Estate Services",9772.12,12.73,0.32%,7683444,13517.36,0.57,-0.78%,8.99%,52.27%,-0.24%,20.44%,50.30%,5.78%,284.92%,63.96%,109.07%,,24.58%,85.95%,6.68%,6.91%,16.45%,28.96%,-0.93%
"ALAB","NASD","Astera Labs Inc","Technology","Semiconductors",55307.05,318.80,2.18%,4205805,5744.83,0.73,0.12%,-11.88%,55.95%,74.34%,91.63%,66.04%,9.14%,114.72%,190.33%,104.45%,64.07%,4.51%,73.03%,6.42%,2.51%,-10.58%,48.79%,-4.69%
