"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"PSX","NYSE","Phillips 66","Energy","Oil & Gas Refining & Marketing",82937.42,206.86,2.75%,2363340,2605.64,0.91,9.82%,20.27%,26.65%,46.30%,60.31%,65.25%,2.63%,202.15%,-56.98%,11.74%,39.05%,-5.04%,81.02%,2.01%
"VLO","NYSE","Valero Energy Corp","Energy","Oil & Gas Refining & Marketing",91945.23,309.65,3.13%,2641196,3123.60,0.85,10.32%,26.84%,28.09%,66.02%,90.21%,114.04%,3.36%,198.98%,322.58%,7.75%,20.17%,1.73%,88.57%,3.51%
"CCK","NYSE","Crown Holdings Inc","Consumer Cyclical","Packaging & Containers",13097.82,117.21,0.16%,1074582,1140.08,0.94,5.15%,14.69%,12.40%,12.53%,13.83%,10.26%,2.84%,4.21%,-5.70%,13.49%,6.98%,-4.77%,102.97%,3.40%
"CNI","NYSE","Canadian National Railway Co","Industrials","Railroads",78269.60,129.03,0.63%,1572297,1503.63,1.05,3.72%,9.65%,18.42%,32.14%,30.53%,26.71%,1.57%,3.94%,6.02%,4.03%,8.63%,-2.27%,69.08%,0.46%
"CP","NYSE","Canadian Pacific Kansas City Limited","Industrials","Railroads",83190.11,93.71,0.86%,2349200,2857.13,0.82,3.98%,5.11%,16.93%,30.03%,27.27%,16.76%,1.80%,11.61%,1.25%,2.01%,13.75%,-1.85%,71.47%,2.01%
"CSX","NASD","CSX Corp","Industrials","Railroads",94300.55,50.75,-0.28%,17453204,12451.70,1.40,2.71%,8.21%,18.80%,40.27%,40.00%,47.10%,1.87%,21.52%,26.95%,1.72%,14.98%,1.56%,79.97%,2.10%
"NSC","NYSE","Norfolk Southern Corp","Industrials","Railroads",76397.89,340.16,0.62%,1162316,1126.44,1.03,3.88%,9.44%,12.40%,18.78%,17.82%,26.07%,1.67%,-0.51%,-26.48%,0.17%,7.10%,-1.23%,78.26%,3.80%
"UNP","NYSE","Union Pacific Corp","Industrials","Railroads",179152.96,301.75,0.78%,3521887,2959.79,1.19,5.15%,12.82%,20.19%,32.85%,30.45%,32.64%,1.79%,9.38%,6.08%,3.15%,9.52%,0.46%,90.76%,4.81%
"BNL","NYSE","Broadstone Net Lease Inc","Real Estate","REIT - Diversified",4372.28,22.80,0.04%,1837698,1993.55,0.92,4.44%,8.88%,14.00%,23.51%,31.26%,44.76%,2.14%,63.81%,175.03%,8.25%,19.95%,7.10%,94.06%,6.81%
"AHR","NYSE","American Healthcare REIT Inc","Real Estate","REIT - Healthcare Facilities",11926.93,57.16,1.01%,2139070,3214.49,0.67,6.70%,21.95%,13.01%,19.93%,21.46%,53.41%,2.44%,35.88%,390.78%,20.38%,35.23%,6.63%,93.61%,9.61%
"CTRE","NYSE","CareTrust REIT Inc","Real Estate","REIT - Healthcare Facilities",10129.98,42.88,2.17%,2994490,2725.55,1.10,6.61%,15.80%,8.56%,15.11%,18.58%,41.56%,2.43%,-4.66%,2.17%,47.78%,2.98%,-0.22%,99.90%,10.08%
"DOC","NYSE","Healthpeak Properties Inc","Real Estate","REIT - Healthcare Facilities",15901.51,22.51,0.81%,7029046,8563.97,0.82,3.97%,12.05%,31.02%,30.42%,39.99%,22.60%,1.88%,229.24%,359.24%,7.12%,3.88%,4.35%,103.40%,3.95%
"HR","NYSE","Healthcare Realty Trust Inc","Real Estate","REIT - Healthcare Facilities",7387.84,21.32,0.14%,4993964,4259.80,1.17,3.04%,4.00%,16.44%,23.45%,25.78%,31.60%,1.86%,100.88%,98.39%,-6.69%,,-2.48%,110.00%,5.91%
"OHI","NYSE","Omega Healthcare Investors Inc","Real Estate","REIT - Healthcare Facilities",14952.64,50.21,0.68%,2090475,2284.76,0.91,3.95%,10.35%,7.79%,13.34%,13.24%,32.83%,1.93%,2.42%,39.25%,16.85%,2.40%,-0.11%,80.83%,4.75%
"VTR","NYSE","Ventas Inc","Real Estate","REIT - Healthcare Facilities",47816.45,96.10,1.12%,3517158,4440.29,0.79,6.00%,14.55%,12.38%,24.93%,24.19%,47.01%,2.17%,15.55%,9.43%,22.01%,33.21%,3.01%,106.53%,4.72%
"WELL","NYSE","Welltower Inc","Real Estate","REIT - Healthcare Facilities",171713.68,243.25,0.73%,2792412,3471.85,0.80,5.03%,13.93%,13.40%,28.90%,31.05%,54.32%,2.21%,108.38%,34.00%,38.21%,42.79%,3.39%,102.63%,2.75%
"DRH","NASD","Diamondrock Hospitality Co","Real Estate","REIT - Hotel & Motel",2574.25,12.55,2.20%,3048578,2070.62,1.47,5.64%,4.41%,21.96%,36.12%,40.07%,59.15%,2.35%,25.23%,56.38%,1.30%,9.01%,4.47%,112.79%,6.23%
"CUBE","NYSE","CubeSmart","Real Estate","REIT - Industrial",9525.70,41.89,-0.43%,2845671,2106.93,1.35,4.23%,1.67%,7.14%,8.24%,16.20%,2.55%,2.40%,0.40%,-6.68%,3.26%,1.64%,1.90%,99.97%,3.41%
"FR","NYSE","First Industrial Realty Trust Inc","Real Estate","REIT - Industrial",9434.95,68.86,0.26%,1390863,1098.12,1.27,5.92%,9.63%,10.35%,16.42%,20.24%,39.48%,2.52%,28.19%,197.24%,10.03%,1.15%,1.73%,102.28%,3.36%
"PLD","NYSE","Prologis Inc","Real Estate","REIT - Industrial",142604.72,149.79,-0.18%,4817881,3673.56,1.31,6.33%,2.51%,5.36%,13.30%,17.34%,40.74%,2.50%,-6.37%,85.28%,11.06%,1.97%,-2.70%,101.07%,1.40%
"STAG","NYSE","STAG Industrial Inc","Real Estate","REIT - Industrial",7969.43,41.68,-0.86%,1461801,1373.09,1.06,6.93%,8.40%,7.37%,10.59%,13.38%,18.14%,2.40%,-23.44%,-33.76%,9.06%,-4.04%,2.38%,94.46%,3.81%
"CUZ","NYSE","Cousins Properties Inc","Real Estate","REIT - Office",5225.80,31.76,-0.90%,1104833,1881.28,0.59,4.96%,11.01%,34.98%,19.40%,23.20%,12.74%,2.12%,-65.39%,-220.48%,5.11%,24.92%,1.26%,107.91%,7.41%
"HIW","NYSE","Highwoods Properties Inc","Real Estate","REIT - Office",3674.29,33.32,-0.27%,992147,1743.30,0.57,6.73%,13.14%,44.30%,24.33%,29.05%,9.71%,2.63%,-10.11%,-68.51%,6.59%,-15.33%,1.48%,108.09%,9.19%
"PDM","NYSE","Piedmont Realty Trust Inc","Real Estate","REIT - Office",1225.19,9.80,-0.81%,640392,1195.86,0.54,5.04%,6.41%,27.94%,13.43%,17.51%,33.70%,2.60%,80.65%,-27.31%,0.43%,,-1.10%,90.77%,3.27%
"JAN","NYSE","Janus Living Inc","Real Estate","REIT - Residential",8745.07,30.35,1.57%,880991,1265.61,0.70,5.75%,19.63%,17.36%,,29.15%,,2.98%,448.40%,,,122.40%,34.73%,24.92%,8.87%
"KIM","NYSE","Kimco Realty Corp","Real Estate","REIT - Retail",17615.06,26.12,0.35%,3740941,4778.17,0.78,4.98%,4.06%,9.98%,26.55%,28.86%,20.59%,2.03%,0.15%,26.70%,3.94%,3.99%,2.34%,101.00%,5.03%
"KRG","NYSE","Kite Realty Group Trust","Real Estate","REIT - Retail",6014.83,29.62,0.47%,3686907,2295.40,1.61,4.74%,2.88%,13.97%,26.69%,24.31%,31.85%,1.85%,-70.91%,-48.80%,-9.53%,-24.63%,-1.06%,104.99%,6.32%
"MAC","NYSE","Macerich Co","Real Estate","REIT - Retail",8061.71,25.92,0.35%,1631317,3531.11,0.46,4.98%,9.14%,18.19%,41.64%,40.41%,55.86%,2.15%,84.03%,-17.13%,-3.20%,,-0.45%,88.92%,8.59%
"NNN","NYSE","NNN REIT Inc","Real Estate","REIT - Retail",9434.41,49.59,0.75%,1502105,1854.54,0.81,6.03%,7.43%,10.87%,18.21%,25.13%,16.03%,1.91%,-2.15%,-3.83%,4.15%,1.96%,2.74%,96.17%,3.90%
"NTST","NYSE","Netstreit Corp","Real Estate","REIT - Retail",2174.10,22.26,0.54%,1501687,1902.22,0.79,3.53%,11.19%,9.06%,23.05%,26.19%,26.41%,2.33%,292.04%,176.81%,24.22%,69.88%,30.25%,140.58%,34.59%
"PECO","NASD","Phillips Edison & Company Inc","Real Estate","REIT - Retail",6104.19,44.01,0.64%,898106,1026.89,0.87,5.11%,5.82%,13.22%,25.64%,23.73%,25.71%,1.74%,-12.61%,14.78%,6.88%,2.09%,0.20%,89.11%,2.93%
"REG","NASD","Regency Centers Corp","Real Estate","REIT - Retail",15138.44,82.68,0.36%,1441930,1496.35,0.96,3.84%,4.79%,3.80%,18.25%,19.77%,18.28%,1.92%,-12.19%,16.85%,8.56%,-0.36%,-1.78%,104.20%,3.24%
"SPG","NYSE","Simon Property Group Inc","Real Estate","REIT - Retail",74165.10,228.70,0.09%,1407900,1885.00,0.75,4.54%,6.26%,13.58%,23.14%,23.55%,40.54%,1.78%,-52.71%,-13.10%,19.29%,-17.98%,0.89%,95.16%,3.38%
"CAKE","NASD","Cheesecake Factory Inc","Consumer Cyclical","Restaurants",4261.51,85.77,2.95%,1670662,1295.31,1.29,3.64%,17.06%,42.38%,42.57%,69.91%,38.54%,3.93%,7.77%,52.99%,5.57%,9.86%,-12.59%,102.80%,18.97%
