"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"IBUY","NYSE",71.16,4.28%,35700,12.52,2.85,-0.43%,3.84%,2.76%,-4.25%,-4.40%,-1.43%,Consumer Discretionary,-11.65,-11.65,-20.03,-29.55,1.04%,4.44%,2.24%
"KRE","NYSE",75.52,-0.28%,7916955,14467.28,0.55,-0.49%,1.00%,9.62%,11.70%,16.53%,21.94%,Financials,-5.56,6.21,-2.84,2.77,0.10%,4.10%,11.67%
"XOP","NYSE",169.08,-2.86%,3742644,3600.03,1.04,-0.56%,9.27%,0.61%,25.04%,33.91%,32.07%,Energy,2.70,6.79,42.17,33.76,3.06%,2.77%,12.13%
"IPO","NYSE",52.26,1.55%,51406,39.15,1.31,-1.20%,-7.26%,5.21%,10.53%,14.48%,12.69%,,-0.60,5.84,2.73,-3.16,-5.92%,-5.27%,7.83%
"KWEB","NYSE",27.00,2.70%,21161841,25136.41,0.84,-1.60%,14.26%,-6.35%,-24.79%,-20.70%,-25.64%,Technology,-4.01,-10.77,-13.90,4.79,3.17%,2.25%,-16.12%
"IGPT","NYSE",87.46,-1.38%,132111,213.08,0.62,-1.70%,-15.04%,16.10%,35.85%,47.07%,73.02%,Robotics & Automation,5.11,19.43,21.90,29.58,-7.64%,-8.97%,22.56%
"WISE","NASD",33.44,0.93%,2713,11.06,0.25,-1.81%,-9.15%,-10.29%,-16.11%,-14.18%,-13.28%,Robotics & Automation,-10.04,-17.90,-17.90,-4.83,-6.66%,-13.09%,-13.85%
"ICLN","NASD",17.81,0.17%,4309596,5886.45,0.73,-1.82%,-12.22%,-10.91%,-2.52%,8.40%,27.49%,Green Investing,-9.97,13.35,19.15,28.09,-6.25%,-13.44%,-4.33%
"SMH","NASD",548.55,-2.25%,38473341,11087.96,3.47,-1.84%,-13.87%,8.31%,37.11%,52.32%,90.81%,Technology,3.72,2.84,12.08,19.36,-7.18%,-8.33%,22.79%
"TAN","NYSE",51.56,0.55%,2384038,1359.08,1.75,-2.14%,-10.90%,-11.59%,-6.64%,4.97%,31.83%,Green Investing,-2.94,9.57,51.42,73.45,-5.85%,-14.66%,-6.02%
"IGV","CBOE",90.91,3.33%,26163793,18353.27,1.43,-2.23%,7.26%,6.70%,-6.96%,-13.98%,-19.33%,Technology,-11.97,-5.58,66.70,12.24,-1.27%,-2.03%,-4.47%
"CIBR","NASD",89.10,0.79%,852677,1628.68,0.52,-2.93%,6.50%,32.51%,25.83%,24.70%,19.34%,Technology,1.96,3.47,4.27,13.43,-2.30%,1.88%,19.55%
"ARKK","CBOE",72.53,0.89%,3978426,6961.59,0.57,-3.23%,-5.24%,-5.19%,-10.12%,-5.71%,-5.55%,Innovation / Patent Based,-7.19,-18.46,-12.30,-19.20,-7.45%,-6.74%,-6.59%
"BOIL","NYSE",20.74,-8.19%,5195115,4032.81,1.29,-3.58%,-26.32%,-17.37%,-63.36%,-54.72%,-72.11%,,46.04,-19.42,-40.55,-12.08,-13.15%,-21.08%,-49.17%
"CNBS","NYSE",24.86,-0.38%,2772,10.54,0.26,-4.01%,-8.48%,-9.75%,-13.96%,-12.36%,30.47%,Cannabis Based Businesses,0.00,-14.54,-23.16,-21.72,-6.79%,-10.20%,-5.81%
"MAGS","CBOE",63.01,-0.22%,4868033,4205.57,1.16,-5.86%,3.18%,-5.35%,-3.98%,-4.47%,9.09%,Technology,12.85,-15.60,-4.87,37.33,-4.50%,-5.48%,-3.12%
