"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"CIBR","NASD",91.89,-1.29%,1034787,1639.14,0.63,-2.51%,6.51%,42.42%,26.54%,28.61%,25.29%,Technology,2.29,2.83,3.57,12.74
"CNBS","NYSE",25.75,-2.65%,1880,12.89,0.15,-2.52%,-10.61%,4.25%,-11.99%,-9.23%,59.48%,Cannabis Based Businesses,-5.04,-13.88,-22.20,-20.80
"BOTZ","NASD",35.53,-1.39%,677899,1001.16,0.68,-3.00%,-7.11%,-3.27%,-6.13%,-1.93%,9.12%,Robotics & Automation,0.78,3.44,7.37,12.51
"JETS","NYSE",31.25,0.00%,2726254,3679.36,0.74,-3.58%,2.59%,15.66%,8.66%,11.33%,25.45%,Industrials,-15.68,-23.04,-8.24,-28.63
"ITA","CBOE",230.89,-2.34%,652362,852.31,0.77,-3.64%,-2.74%,-1.33%,-2.80%,7.55%,18.75%,Industrials,0.25,-2.89,-0.50,27.00
"ICLN","NASD",18.35,-3.83%,3924260,6078.24,0.65,-5.07%,-12.74%,-6.04%,4.56%,11.69%,36.33%,Green Investing,-7.76,15.82,19.37,27.55
"RING","NASD",61.41,-3.81%,351261,484.80,0.72,-5.74%,-16.35%,-27.17%,-26.02%,-16.61%,40.78%,Materials,2.86,-14.93,-12.14,3.68
"BLOK","NYSE",59.64,-3.74%,236609,318.15,0.74,-5.96%,-10.49%,1.84%,-5.62%,4.83%,-1.13%,Fintech,-7.39,-1.83,-4.48,-3.23
"ARKK","CBOE",76.67,-3.68%,6009166,7475.68,0.80,-5.96%,-3.72%,-1.03%,-7.86%,-0.33%,1.89%,Innovation / Patent Based,-24.52,-4.14,-7.21,-13.65
"SIL","NYSE",71.91,-4.13%,1054333,1589.19,0.66,-6.37%,-17.30%,-26.31%,-23.85%,-13.90%,46.28%,Materials,-0.37,-6.16,-9.98,23.47
"SMH","NASD",568.92,-3.70%,12069255,10657.98,1.13,-6.39%,-12.08%,25.59%,45.31%,57.98%,96.67%,Technology,2.81,3.39,11.97,17.02
"BOIL","NYSE",22.00,-2.65%,5718119,4076.66,1.40,-7.09%,-17.94%,-16.35%,-40.86%,-51.97%,-77.53%,,37.26,-3.89,-33.68,65.79
"XBI","NYSE",152.00,-2.70%,9830722,8875.90,1.11,-7.48%,11.44%,11.40%,22.73%,24.66%,73.08%,Healthcare,8.31,5.03,5.40,13.75
"WISE","NASD",34.28,-3.79%,2432,11.29,0.22,-7.62%,-15.60%,-8.42%,-16.86%,-12.03%,-8.74%,Robotics & Automation,-9.39,-16.84,-16.84,-4.51
"URA","NYSE",39.11,-4.38%,3974155,3827.59,1.04,-7.65%,-18.62%,-28.68%,-22.97%,-8.47%,-2.20%,Materials,-0.18,0.99,16.72,49.23
"UFO","NASD",43.68,-3.72%,957783,1360.53,0.70,-7.85%,-16.94%,-16.32%,-1.86%,13.01%,43.35%,Space Exploration & Technology,-28.18,92.53,654.98,2826.84
"IPO","NYSE",53.18,-2.87%,23096,40.72,0.57,-8.31%,-8.39%,10.70%,9.92%,16.50%,19.32%,,0.06,3.92,1.18,-5.26
"IGPT","NYSE",89.74,-4.85%,175992,187.74,0.94,-9.12%,-12.85%,30.47%,43.54%,50.90%,80.38%,Robotics & Automation,11.15,22.27,24.29,31.99
