"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"SMH","NASD",561.19,-3.27%,19013124,10982.43,1.73,0.84%,-9.33%,16.47%,39.32%,55.83%,94.99%,Technology,1.89,3.68,12.44,19.22
"BOIL","NYSE",22.59,-1.35%,3622925,4045.35,0.90,0.80%,-19.67%,-12.37%,-56.81%,-50.68%,-69.78%,,44.31,-6.86,-39.49,21.77
"IGPT","NYSE",88.68,-3.35%,286150,209.59,1.37,0.24%,-11.19%,23.53%,37.40%,49.12%,75.78%,Robotics & Automation,4.94,18.99,21.02,28.31
"XHB","NYSE",108.44,1.64%,2209104,2675.54,0.83,0.18%,-5.11%,-0.91%,-4.54%,5.32%,2.74%,Consumer Discretionary,10.13,6.78,-1.00,10.20
"KIE","NYSE",64.14,2.18%,1139656,1314.62,0.87,-0.05%,7.40%,10.09%,9.62%,6.63%,12.43%,Financials,35.50,33.11,6.27,-29.90
"IHI","NYSE",50.23,1.60%,2768705,2905.57,0.95,-0.55%,1.23%,-5.24%,-17.36%,-19.18%,-17.22%,Healthcare,-2.36,-2.27,-9.68,-19.38
"IAI","NYSE",186.90,-0.23%,89257,106.58,0.84,-0.78%,3.04%,6.02%,-0.67%,4.20%,7.16%,Financials,-4.10,-14.90,-18.09,-10.08
"JETS","NYSE",30.10,2.66%,2497320,3433.37,0.73,-1.18%,-7.33%,17.03%,4.22%,7.23%,23.26%,Industrials,-14.59,-20.47,-15.24,-33.26
"KRE","NYSE",75.73,0.77%,10863278,14534.34,0.75,-1.25%,2.38%,8.19%,8.29%,16.85%,21.79%,Financials,-3.03,7.13,0.92,6.87
"BETZ","NYSE",18.92,1.65%,15356,40.91,0.38,-1.36%,1.92%,-0.26%,-1.83%,-9.83%,-21.51%,Consumer Discretionary,-0.51,-5.07,-13.74,-29.42
"UFO","NASD",42.96,-1.74%,598343,1313.22,0.46,-1.54%,-7.57%,-18.79%,-8.30%,11.15%,38.63%,Space Exploration & Technology,-19.08,19.50,849.55,289698.30
"BOTZ","NASD",33.83,-1.40%,1201915,1008.08,1.19,-1.66%,-7.52%,-7.72%,-10.69%,-6.62%,-1.91%,Robotics & Automation,0.36,3.75,7.75,12.36
"INDA","CBOE",48.02,0.82%,7403940,6179.11,1.20,-1.82%,-3.24%,-2.81%,-7.29%,-11.16%,-11.17%,,-0.89,5.79,-21.94,-27.17
"KWEB","NYSE",26.29,0.08%,23549519,25086.29,0.94,-1.94%,8.19%,-7.53%,-26.75%,-22.79%,-28.15%,Technology,-4.21,-10.62,-13.72,5.02
"WISE","NASD",33.13,-2.28%,4507,11.14,0.40,-2.19%,-10.86%,-9.40%,-18.39%,-14.97%,-14.40%,Robotics & Automation,-9.81,-17.52,-17.52,-4.71
"XBI","NYSE",150.48,-1.15%,7385354,8999.43,0.82,-2.45%,0.51%,11.89%,14.37%,23.42%,72.00%,Healthcare,-0.86,4.26,5.78,17.68
"IPO","NYSE",51.46,-3.00%,18854,39.11,0.48,-2.50%,-9.00%,5.13%,8.70%,12.73%,11.69%,,-6.70,2.32,-0.46,-5.76
"XRT","NYSE",87.01,0.73%,4440014,5172.52,0.86,-2.70%,-1.37%,1.29%,-2.98%,2.02%,6.72%,Consumer Discretionary,-4.53,-12.10,-9.43,97.91
"ICLN","NASD",17.78,-3.21%,4606669,5908.03,0.78,-3.21%,-13.18%,-11.72%,-1.82%,8.22%,27.73%,Green Investing,-9.69,12.87,18.42,26.94
"IBUY","NYSE",68.24,0.25%,7532,12.75,0.59,-4.12%,-1.92%,-0.56%,-8.83%,-8.32%,-5.23%,Consumer Discretionary,-11.68,-11.68,-20.07,-29.59
"CIBR","NASD",88.40,0.78%,872730,1633.20,0.53,-4.29%,5.49%,32.75%,25.12%,23.72%,18.85%,Technology,1.98,3.42,4.30,13.58
"ARKK","CBOE",71.89,-2.63%,5926462,6990.36,0.85,-4.40%,-6.30%,-6.03%,-12.57%,-6.54%,-5.16%,Innovation / Patent Based,-7.13,-14.54,-11.57,-18.30
"CNBS","NYSE",24.96,-0.72%,4473,10.93,0.41,-4.81%,-4.09%,-1.85%,-11.89%,-12.02%,40.30%,Cannabis Based Businesses,0.00,-14.44,-23.02,-21.58
"TAN","NYSE",51.28,-2.97%,720234,1361.95,0.53,-4.86%,-11.83%,-12.49%,-5.07%,4.40%,31.05%,Green Investing,-2.85,9.25,49.01,69.54
"IGV","CBOE",87.98,1.01%,14458033,18470.78,0.78,-5.19%,2.10%,5.28%,-9.24%,-16.76%,-21.51%,Technology,-14.94,-5.31,69.94,11.78
"MAGS","CBOE",63.15,-0.13%,4699981,4199.79,1.12,-5.62%,0.75%,-3.34%,-2.74%,-4.26%,9.88%,Technology,16.56,-13.26,-2.21,41.11
