"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"COPX","NYSE",78.24,5.93%,3556323,3784.77,0.94,-0.61%,-8.47%,-9.29%,-3.13%,8.98%,74.33%,Materials,-1.18,3.98,53.09,119.18
"XBI","NYSE",154.50,2.36%,7753890,8974.84,0.86,-0.61%,9.79%,12.13%,24.42%,26.71%,79.92%,Healthcare,6.53,4.01,3.21,16.36
"COAL","NYSE",23.44,0.43%,24807,66.34,0.37,-0.72%,-3.70%,-6.09%,-10.08%,2.76%,18.14%,Energy,-14.44,-39.75,155.51,259.78
"MAGS","CBOE",66.95,0.03%,2226537,4169.52,0.53,-0.73%,2.31%,1.81%,3.16%,1.50%,16.21%,Technology,13.52,-9.91,0.69,41.15
"PAVE","CBOE",56.20,0.90%,1816605,1905.30,0.95,-0.90%,-4.03%,1.32%,8.98%,17.60%,24.50%,Infrastructure,2.24,7.86,18.15,23.66
"BETZ","NYSE",19.22,-1.20%,4628,40.80,0.11,-0.93%,-1.28%,-1.13%,-1.70%,-8.39%,-19.98%,Consumer Discretionary,1.42,-4.88,-13.28,-28.60
"RING","NASD",63.60,5.00%,194217,497.01,0.39,-1.07%,-10.86%,-25.85%,-23.49%,-13.63%,42.03%,Materials,6.19,-12.36,-11.48,5.13
"JETS","NYSE",30.51,-0.23%,1158870,3575.21,0.32,-1.10%,-1.58%,10.74%,5.17%,8.69%,21.94%,Industrials,-8.24,-18.69,-8.92,-29.47
"EWZ","NYSE",35.62,0.39%,11772606,24320.92,0.48,-1.14%,5.60%,-13.75%,7.39%,12.12%,31.98%,,-4.89,-10.84,25.40,39.68
"BOIL","NYSE",21.96,2.09%,3441831,4086.88,0.84,-1.66%,-22.43%,-18.97%,-33.13%,-52.05%,-73.86%,,49.30,-3.87,-34.52,125.03
"IGV","CBOE",91.82,-1.25%,9514961,19490.73,0.49,-1.93%,3.06%,6.40%,-6.60%,-13.12%,-17.44%,Technology,-4.92,1.86,79.76,20.53
"IPO","NYSE",54.36,2.77%,10214,40.63,0.25,-1.95%,-8.70%,9.62%,12.92%,19.08%,18.12%,,-3.35,2.33,-0.46,-5.77
"XHB","NYSE",105.94,-0.12%,2094641,2686.22,0.78,-2.05%,-4.59%,-3.16%,-7.52%,2.89%,4.84%,Consumer Discretionary,3.63,8.78,-1.00,11.33
"ARKK","CBOE",77.69,3.66%,3743602,7247.56,0.52,-2.30%,-3.11%,-2.05%,-4.88%,1.01%,1.15%,Innovation / Patent Based,-10.74,-10.67,-11.04,-19.29
"ITA","CBOE",229.74,0.20%,476074,851.22,0.56,-2.35%,-3.87%,-0.91%,-5.76%,7.01%,18.03%,Industrials,-0.95,-3.78,-1.18,26.19
"IAI","NYSE",188.61,0.47%,50021,105.80,0.47,-2.51%,1.35%,4.70%,-0.82%,5.15%,8.91%,Financials,-6.52,-16.68,-18.43,-12.03
"TAN","NYSE",53.74,1.99%,411487,1430.00,0.29,-2.52%,-11.29%,-3.26%,3.59%,9.41%,40.09%,Green Investing,-7.96,8.95,49.37,70.13
"SMH","NASD",584.08,4.52%,6994679,11042.31,0.63,-2.70%,-11.49%,25.89%,45.88%,62.19%,101.05%,Technology,-6.88,5.49,13.69,19.67
"BOTZ","NASD",34.89,1.87%,701517,1009.42,0.69,-2.76%,-9.07%,-6.96%,-9.02%,-3.70%,5.70%,Robotics & Automation,0.83,3.79,7.84,13.02
"ICLN","NASD",18.52,2.09%,3440789,5961.63,0.58,-2.88%,-12.23%,-5.75%,4.63%,12.72%,34.79%,Green Investing,-9.55,13.46,19.16,27.91
"URA","NYSE",40.25,4.09%,4165739,3714.55,1.12,-3.13%,-15.76%,-28.19%,-26.01%,-5.80%,0.27%,Materials,-0.08,0.17,18.20,52.40
"IGPT","NYSE",93.35,4.92%,233234,202.10,1.15,-3.13%,-12.27%,32.09%,49.07%,56.97%,86.07%,Robotics & Automation,10.88,23.94,26.14,34.60
"UFO","NASD",44.00,2.23%,975141,1342.28,0.73,-3.85%,-12.47%,-19.35%,-7.09%,13.84%,42.49%,Space Exploration & Technology,-26.18,39.68,1036.17,
"WISE","NASD",34.96,2.66%,2642,11.26,0.23,-4.01%,-12.91%,-7.57%,-15.08%,-10.28%,-9.26%,Robotics & Automation,-9.80,-17.51,-17.51,-4.71
"CIBR","NASD",90.58,-1.32%,2191002,1619.80,1.35,-4.38%,7.14%,35.09%,25.96%,26.77%,21.27%,Technology,2.32,2.63,3.62,12.71
"CNBS","NYSE",26.09,0.72%,1287,12.59,0.10,-4.49%,-10.13%,-0.80%,-9.44%,-8.04%,47.30%,Cannabis Based Businesses,-5.15,-14.15,-22.60,-21.18
