"Ticker","Exchange","Price","Change","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)"
"INDA","CBOE",48.02,0.82%,-1.82%,-3.24%,-2.81%,-7.29%,-11.16%,-11.17%,-1.81%,-1.14%,-5.99%,-131063461.80,-1.98,232815654.95,3.72,-1918508500.85,-22.82,-2549593555.55,-28.21
"KWEB","NYSE",26.29,0.08%,-1.94%,8.19%,-7.53%,-26.75%,-22.79%,-28.15%,1.05%,-0.70%,-18.52%,-217595500.00,-4.01,-627749000.00,-10.77,-839912250.00,-13.90,237767750.00,4.79
"WISE","NASD",33.13,-2.28%,-2.19%,-10.86%,-9.40%,-18.39%,-14.97%,-14.40%,-7.98%,-14.18%,-14.78%,-2921768.00,-10.04,-5707543.00,-17.90,-5707543.00,-17.90,-1329386.00,-4.83
"XBI","NYSE",150.48,-1.15%,-2.45%,0.51%,11.89%,14.37%,23.42%,72.00%,-3.95%,4.78%,17.63%,85469945.12,0.86,433520805.52,4.52,394049102.10,4.09,1348181922.80,15.54
"IPO","NYSE",51.46,-3.00%,-2.50%,-9.00%,5.13%,8.70%,12.73%,11.69%,-7.74%,-6.64%,6.20%,-906329.00,-0.58,8238162.00,5.55,3966668.00,2.60,-4873407.00,-3.02
"XRT","NYSE",87.01,0.73%,-2.70%,-1.37%,1.29%,-2.98%,2.02%,6.72%,-1.12%,1.70%,2.48%,115200493.75,29.26,48834703.00,10.61,28982752.50,6.04,88650974.10,21.09
"ICLN","NASD",17.78,-3.21%,-3.21%,-13.18%,-11.72%,-1.82%,8.22%,27.73%,-6.82%,-13.93%,-4.44%,-260033183.00,-9.97,276472514.70,13.35,377243060.20,19.15,514643667.00,28.09
"IBUY","NYSE",68.24,0.25%,-4.12%,-1.92%,-0.56%,-8.83%,-8.32%,-5.23%,-3.00%,0.38%,-1.98%,-13992240.00,-11.65,-13992240.00,-11.65,-26570660.00,-20.03,-44478560.00,-29.55
"CIBR","NASD",88.40,0.78%,-4.29%,5.49%,32.75%,25.12%,23.72%,18.85%,-2.86%,1.39%,18.71%,266513500.00,1.96,465302000.00,3.47,567475500.00,4.27,1640531795.43,13.43
"ARKK","CBOE",71.89,-2.63%,-4.40%,-6.30%,-6.03%,-12.57%,-6.54%,-5.16%,-8.60%,-7.69%,-7.51%,-435063379.62,-7.19,-1270563774.77,-18.46,-787086328.79,-12.30,-1334272749.73,-19.20
"CNBS","NYSE",24.96,-0.72%,-4.81%,-4.09%,-1.85%,-11.89%,-12.02%,40.30%,-6.92%,-10.08%,-5.59%,0.00,0.00,-12183425.00,-14.54,-21578195.00,-23.16,-19860145.00,-21.72
"TAN","NYSE",51.28,-2.97%,-4.86%,-11.83%,-12.49%,-5.07%,4.40%,31.05%,-6.81%,-15.46%,-6.48%,-44753574.40,-2.94,129012083.20,9.57,501362685.60,51.42,625234154.40,73.45
"IGV","CBOE",87.98,1.01%,-5.19%,2.10%,5.28%,-9.24%,-16.76%,-21.51%,-4.32%,-5.14%,-7.66%,-1656749224.85,-11.97,-719418554.10,-5.58,4874354063.60,66.70,1328046555.70,12.24
"MAGS","CBOE",63.15,-0.13%,-5.62%,0.75%,-3.34%,-2.74%,-4.26%,9.88%,-4.18%,-5.48%,-2.91%,422503625.00,12.85,-685969714.00,-15.60,-190049328.00,-4.87,1008614162.00,37.33
