"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"KIE","NYSE",64.11,-0.09%,855891,1312.29,0.65,-0.54%,9.98%,9.85%,8.79%,6.58%,11.30%,Financials,27.72,37.23,5.59,-29.99
"COPX","NYSE",73.86,0.70%,1545325,3791.31,0.41,-0.66%,-14.87%,-15.29%,-9.97%,2.88%,68.36%,Materials,-0.87,4.01,53.84,121.61
"BETZ","NYSE",19.45,1.43%,16476,40.64,0.41,-0.80%,-0.65%,-0.18%,-3.64%,-7.28%,-19.48%,Consumer Discretionary,1.43,-4.93,-13.42,-28.84
"TAN","NYSE",52.69,-2.24%,445315,1445.75,0.31,-0.81%,-9.85%,-4.43%,1.39%,7.27%,38.69%,Green Investing,-8.59,8.76,47.96,66.75
"XHB","NYSE",106.07,-2.01%,2097808,2671.09,0.79,-0.93%,-1.17%,-1.10%,-8.12%,3.02%,4.57%,Consumer Discretionary,0.20,10.35,0.28,14.04
"PAVE","CBOE",55.70,-1.07%,1640428,1892.37,0.87,-0.94%,-3.93%,1.16%,8.34%,16.55%,22.61%,Infrastructure,2.30,8.01,17.92,23.33
"IHI","NYSE",50.58,0.14%,2873260,2882.91,1.00,-1.48%,4.50%,-6.71%,-18.97%,-18.62%,-15.78%,Healthcare,-1.93,1.31,-7.47,-17.87
"BOIL","NYSE",21.51,-4.02%,3315362,4082.66,0.81,-1.60%,-21.92%,-20.74%,-33.32%,-53.03%,-78.19%,,44.04,-5.04,-34.78,109.56
"OIH","NYSE",375.18,-1.01%,109368,381.74,0.29,-2.02%,-5.52%,-6.37%,14.69%,31.75%,60.76%,Energy,-5.54,0.58,9.65,19.19
"JETS","NYSE",30.58,0.39%,2282181,3592.22,0.64,-2.05%,1.09%,9.53%,5.27%,8.94%,22.37%,Industrials,-9.61,-18.28,-8.43,-29.14
"ITA","CBOE",229.27,-0.63%,772566,845.08,0.91,-2.46%,-5.57%,-1.15%,-4.95%,6.79%,16.91%,Industrials,-0.77,-3.77,-1.18,26.23
"ICLN","NASD",18.14,-1.25%,4127869,5995.39,0.69,-2.60%,-11.43%,-6.49%,3.60%,10.41%,33.58%,Green Investing,-8.35,15.71,20.60,29.42
"XBI","NYSE",150.94,-2.15%,7781963,8946.40,0.87,-2.83%,8.29%,8.85%,21.38%,23.79%,74.96%,Healthcare,9.31,5.98,6.38,18.96
"SIL","NYSE",71.41,-0.46%,1136164,1574.61,0.72,-3.84%,-16.92%,-29.28%,-25.92%,-14.50%,48.18%,Materials,-0.63,-6.65,-10.62,22.07
"ARKK","CBOE",74.95,-0.33%,3015144,7312.49,0.41,-4.21%,-4.51%,-5.40%,-8.52%,-2.56%,-3.45%,Innovation / Patent Based,-14.50,-10.18,-10.65,-17.36
"RING","NASD",60.57,-0.57%,277576,497.37,0.56,-4.24%,-17.12%,-30.19%,-27.42%,-17.75%,40.53%,Materials,4.66,-14.37,-11.42,5.10
"BOTZ","NASD",34.25,-0.44%,657177,1007.91,0.65,-4.52%,-8.89%,-8.45%,-10.67%,-5.47%,3.29%,Robotics & Automation,0.83,3.78,7.81,12.97
"SMH","NASD",558.83,0.41%,6890271,10993.55,0.63,-4.57%,-10.44%,20.40%,40.97%,55.17%,92.49%,Technology,3.32,6.19,13.99,19.45
"URA","NYSE",38.67,-0.15%,2165683,3743.45,0.58,-5.03%,-17.90%,-30.77%,-26.73%,-9.50%,-5.52%,Materials,-0.08,0.53,18.00,51.80
"IPO","NYSE",52.90,0.22%,14063,40.63,0.35,-5.05%,-7.99%,8.42%,10.85%,15.87%,16.91%,,-2.67,3.11,0.27,-5.13
"UFO","NASD",43.04,-1.35%,385549,1346.12,0.29,-5.43%,-15.71%,-21.30%,-6.41%,11.36%,37.06%,Space Exploration & Technology,-24.27,78.04,924.99,
"WISE","NASD",34.05,0.53%,1940,11.28,0.17,-5.51%,-14.04%,-10.19%,-17.55%,-12.60%,-11.58%,Robotics & Automation,-9.83,-17.56,-17.56,-4.73
"CNBS","NYSE",25.90,-1.21%,959,12.84,0.07,-5.67%,-7.33%,7.91%,-12.34%,-8.69%,57.60%,Cannabis Based Businesses,-5.09,-14.00,-22.38,-20.97
"IGPT","NYSE",88.97,0.57%,658786,192.36,3.42,-5.88%,-11.74%,25.59%,42.79%,49.60%,78.37%,Robotics & Automation,11.99,24.13,26.35,34.90
