"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"IGPT","NYSE",91.75,-1.68%,260659,206.22,1.26,2.24%,-8.71%,25.63%,44.13%,54.28%,81.90%,Robotics & Automation,5.40,19.25,21.25,28.41
"SMH","NASD",580.17,-1.15%,7879718,11025.28,0.71,1.98%,-6.73%,21.67%,44.35%,61.10%,102.42%,Technology,2.95,3.67,12.56,19.12
"OIH","NYSE",382.96,-1.42%,250900,369.78,0.68,1.56%,-0.41%,-8.34%,12.88%,34.48%,52.62%,Energy,-2.72,0.40,12.46,30.00
"PAVE","CBOE",57.51,1.61%,1771903,1891.98,0.94,1.29%,-0.52%,4.32%,11.35%,20.34%,24.62%,Infrastructure,0.57,7.24,17.47,22.70
"XBI","NYSE",152.23,0.08%,6643997,9017.79,0.74,0.15%,3.54%,10.87%,18.76%,24.85%,72.56%,Healthcare,3.11,2.80,5.24,16.52
"ICLN","NASD",18.37,-0.92%,5578609,5897.33,0.95,0.11%,-11.13%,-7.46%,3.55%,11.81%,31.78%,Green Investing,-9.61,12.75,18.24,26.66
"UFO","NASD",43.72,-0.07%,383229,1332.45,0.29,0.09%,-9.16%,-19.50%,-4.42%,13.12%,38.35%,Space Exploration & Technology,-22.41,20.80,864.55,
"IPO","NYSE",53.05,-1.08%,7577,39.43,0.19,-0.24%,-7.09%,6.58%,13.23%,16.21%,14.53%,,-6.65,2.28,-0.47,-5.71
"WISE","NASD",33.90,-2.14%,9016,11.03,0.82,-1.08%,-11.05%,-11.08%,-15.56%,-12.99%,-13.33%,Robotics & Automation,-9.63,-17.23,-17.23,-4.62
"KIE","NYSE",62.77,0.06%,637082,1314.48,0.48,-1.10%,5.28%,8.37%,7.45%,4.36%,8.41%,Financials,41.81,28.41,6.27,-29.89
"INDA","CBOE",47.63,-1.22%,11372893,6108.32,1.86,-2.18%,-2.93%,-4.70%,-7.60%,-11.88%,-12.97%,,-0.87,6.22,-21.62,-26.07
"CNBS","NYSE",25.14,-2.08%,2644,11.57,0.23,-2.37%,-4.62%,-17.43%,-8.65%,-11.38%,42.68%,Cannabis Based Businesses,-3.48,-14.26,-22.75,-21.32
"TAN","NYSE",52.85,-1.62%,380340,1390.31,0.27,-2.45%,-9.75%,-7.33%,1.15%,7.59%,34.58%,Green Investing,-4.22,9.11,48.02,67.94
"IAI","NYSE",187.33,-1.31%,46928,106.32,0.44,-2.57%,0.99%,4.55%,0.21%,4.44%,8.20%,Financials,-4.03,-14.66,-17.80,-11.38
"BOTZ","NASD",34.31,-1.66%,717982,1010.38,0.71,-3.43%,-6.36%,-8.19%,-9.02%,-5.30%,-0.64%,Robotics & Automation,0.81,3.70,7.66,12.20
"KRE","NYSE",75.15,-0.60%,17266261,14531.89,1.19,-3.55%,2.78%,8.52%,7.23%,15.95%,18.61%,Financials,0.57,3.74,0.91,11.81
"ARKK","CBOE",73.83,-2.89%,5816175,7097.21,0.82,-3.70%,-3.72%,-6.90%,-8.05%,-4.02%,-4.54%,Innovation / Patent Based,-6.46,-11.15,-10.50,-16.80
"XHB","NYSE",106.69,-0.22%,2416683,2667.94,0.91,-3.71%,-1.40%,-1.95%,-7.10%,3.62%,-0.94%,Consumer Discretionary,12.41,14.55,5.09,15.31
"BETZ","NYSE",18.61,-1.74%,30441,40.58,0.75,-3.92%,-0.96%,-1.44%,-2.77%,-11.30%,-23.69%,Consumer Discretionary,-0.50,-5.01,-13.61,-29.18
"KWEB","NYSE",26.27,-0.64%,15371637,25498.62,0.60,-4.40%,7.27%,-10.13%,-26.17%,-22.85%,-29.11%,Technology,-5.31,-10.37,-13.79,6.67
"XRT","NYSE",86.38,-2.66%,6540538,5166.38,1.27,-4.53%,0.70%,-0.84%,-4.44%,1.28%,4.20%,Consumer Discretionary,-34.28,-39.59,-32.37,39.56
"CIBR","NASD",87.72,-1.80%,1227970,1636.01,0.75,-4.54%,4.17%,27.30%,25.19%,22.77%,17.87%,Technology,3.02,3.46,4.33,13.77
"IHI","NYSE",49.44,0.06%,2419733,2918.44,0.83,-5.29%,0.65%,-7.24%,-20.06%,-20.45%,-19.12%,Healthcare,-3.23,-2.41,-10.02,-19.72
"IBUY","NYSE",68.07,-2.64%,3575,12.72,0.28,-5.91%,0.62%,-2.99%,-8.15%,-8.55%,-6.37%,Consumer Discretionary,-11.42,-11.42,-19.67,-29.08
"JETS","NYSE",29.32,-2.59%,3574332,3439.79,1.04,-6.18%,-5.97%,13.29%,1.28%,4.45%,14.76%,Industrials,-14.26,-20.04,-14.90,-32.67
"IGV","CBOE",87.10,-2.16%,13664752,19042.23,0.72,-7.04%,-0.25%,-1.85%,-8.70%,-17.59%,-22.10%,Technology,-7.26,-1.88,87.89,20.95
"MAGS","CBOE",63.23,-4.63%,7843743,4138.87,1.90,-7.18%,0.14%,-4.83%,-0.64%,-4.14%,9.74%,Technology,15.19,-12.08,-1.56,39.94
