"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"INDA","CBOE",48.22,-1.15%,5608909,6110.82,0.92,-1.03%,-3.41%,-3.17%,-6.79%,-10.79%,-11.70%,,-0.86,6.63,-21.39,-25.65
"IGPT","NYSE",93.32,-0.03%,172945,204.97,0.84,-1.05%,-13.68%,32.09%,51.79%,56.92%,86.86%,Robotics & Automation,9.31,22.55,24.59,31.94
"XHB","NYSE",106.92,0.93%,1530138,2664.64,0.57,-1.84%,-2.03%,-1.73%,-4.44%,3.85%,0.19%,Consumer Discretionary,13.60,8.50,1.25,14.67
"IPO","NYSE",53.63,-1.34%,11053,39.67,0.28,-2.05%,-9.01%,10.03%,13.48%,17.48%,16.82%,,0.51,2.25,-0.46,-5.63
"KWEB","NYSE",26.44,-2.15%,23347339,25501.40,0.92,-2.07%,5.55%,-10.10%,-24.39%,-22.35%,-27.38%,Technology,-6.43,-7.34,-13.43,10.37
"ITA","CBOE",231.11,0.60%,395586,843.50,0.47,-2.25%,-1.87%,3.59%,-2.85%,7.65%,20.26%,Industrials,-0.62,-3.61,-0.76,26.86
"XBI","NYSE",152.11,-1.55%,6295284,8991.01,0.70,-2.63%,4.28%,11.53%,21.41%,24.75%,75.38%,Healthcare,6.33,5.61,6.88,16.22
"WISE","NASD",34.65,-0.90%,1267,11.11,0.11,-2.76%,-12.38%,-6.80%,-12.21%,-11.09%,-9.44%,Robotics & Automation,-9.55,-17.10,-17.10,-4.58
"ICLN","NASD",18.54,0.11%,4372794,5920.52,0.74,-2.83%,-14.29%,-4.43%,5.76%,12.84%,32.62%,Green Investing,-9.61,12.74,18.23,26.64
"CNBS","NYSE",25.67,-1.59%,2207,12.47,0.18,-2.94%,-5.92%,0.84%,-6.44%,-9.50%,45.72%,Cannabis Based Businesses,-5.11,-14.06,-22.47,-21.06
"BOTZ","NASD",34.89,0.00%,590258,1011.46,0.58,-3.16%,-8.97%,-5.04%,-6.13%,-3.70%,6.11%,Robotics & Automation,0.81,3.72,7.69,12.77
"IAI","NYSE",189.81,0.64%,61147,105.81,0.58,-3.32%,1.67%,6.53%,2.68%,5.82%,10.73%,Financials,-5.88,-15.66,-17.89,-11.44
"IBUY","NYSE",69.92,-1.41%,3925,12.68,0.31,-3.33%,3.53%,-0.46%,-4.76%,-6.07%,-2.65%,Consumer Discretionary,-11.28,-11.28,-19.45,-28.78
"BETZ","NYSE",18.94,-1.46%,7126,40.76,0.17,-3.52%,-1.61%,-1.57%,-1.20%,-9.72%,-21.68%,Consumer Discretionary,1.43,-4.93,-13.42,-28.84
"UFO","NASD",43.75,-0.57%,466003,1340.22,0.35,-3.57%,-10.20%,-18.38%,-5.38%,13.20%,42.63%,Space Exploration & Technology,-24.64,28.77,835.07,29222.14
"JETS","NYSE",30.10,-1.34%,1553698,3493.12,0.44,-3.68%,-2.84%,12.52%,6.44%,7.23%,19.68%,Industrials,-9.99,-21.34,-10.65,-30.83
"TAN","NYSE",53.72,-0.04%,451404,1422.56,0.32,-3.73%,-12.09%,-1.76%,4.33%,9.36%,33.90%,Green Investing,-5.09,9.12,48.12,68.10
"MAGS","CBOE",66.30,-0.97%,2207362,4144.70,0.53,-3.94%,3.56%,1.52%,5.34%,0.52%,15.53%,Technology,12.60,-11.43,-1.19,38.64
"CIBR","NASD",89.33,-1.38%,2189446,1625.08,1.35,-4.04%,6.88%,31.29%,27.65%,25.02%,20.55%,Technology,-2.12,3.10,4.10,13.37
"ARKK","CBOE",76.03,-2.14%,4041970,7137.71,0.57,-4.48%,-3.06%,-1.74%,-4.04%,-1.16%,-0.47%,Innovation / Patent Based,-9.51,-9.97,-10.91,-17.83
"IGV","CBOE",89.02,-3.05%,15836151,19164.67,0.83,-5.24%,1.96%,2.70%,-7.20%,-15.77%,-19.73%,Technology,-6.74,-0.68,74.27,17.82
