"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"INDA","CBOE",50.45,0.28%,2632,6487.46,0.01,1.51%,3.70%,0.84%,-5.60%,-6.66%,-3.45%,,-5.54,-2.07,-24.71,-29.74,2.67%,3.19%,-0.94%,0.28%
"XBI","NYSE",153.20,0.12%,1793,9013.13,0.00,1.15%,-5.99%,11.27%,22.28%,25.65%,77.87%,Healthcare,-2.79,5.89,2.53,13.28,0.63%,4.26%,17.93%,0.12%
"KWEB","NYSE",28.29,-0.86%,20654,25474.55,0.02,0.83%,7.13%,-4.93%,-15.34%,-16.91%,-21.32%,Technology,-0.37,-9.43,-12.87,-2.35,3.51%,6.95%,-10.80%,0.34%
"KIE","NYSE",64.87,0.00%,1,1315.57,0.00,0.70%,2.03%,15.12%,9.61%,7.85%,13.49%,Financials,23.35,30.72,7.11,-28.35,1.10%,6.32%,10.66%,0.00%
"CNBS","NYSE",24.03,0.00%,0,10.06,0.00,0.67%,-9.91%,-18.48%,-5.24%,-15.30%,11.76%,Cannabis Based Businesses,0.00,-12.85,-22.81,-21.39,-6.03%,-12.38%,-8.13%,0.00%
"XRT","NYSE",91.42,0.00%,0,5291.91,0.00,0.02%,4.88%,8.33%,3.76%,7.19%,14.88%,Consumer Discretionary,-13.37,27.22,-5.21,148.50,2.33%,4.78%,7.32%,0.00%
"BOAT","NYSE",43.26,0.00%,0,25.29,0.00,-0.33%,9.04%,0.66%,19.66%,37.04%,38.94%,Industrials,0.00,-10.73,25.59,29.16,1.69%,4.47%,14.40%,0.00%
"EWZ","NYSE",36.12,0.03%,264,23105.09,0.00,-1.12%,4.97%,-9.47%,-2.33%,13.69%,32.03%,,-2.53,-12.92,24.79,38.62,0.51%,2.75%,1.66%,-1.84%
"BETZ","NYSE",18.83,0.00%,0,40.55,0.00,-4.01%,-2.11%,-1.63%,3.32%,-10.27%,-22.50%,Consumer Discretionary,-7.15,-1.32,-13.40,-26.30,-2.30%,-1.92%,-3.55%,0.00%
"XOP","NYSE",165.21,0.01%,11171,3593.41,0.06,-5.52%,1.99%,-2.43%,14.88%,30.85%,33.55%,Energy,2.98,6.75,44.23,37.97,-2.75%,0.59%,8.30%,-0.00%
"BOIL","NYSE",19.13,-0.31%,191580,4102.69,0.93,-5.62%,-28.54%,-24.03%,-57.81%,-58.23%,-72.97%,,69.63,6.41,-33.67,-8.58,-9.96%,-23.69%,-51.50%,-2.30%
