"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"IAI","NYSE",188.37,-2.03%,75459,105.78,0.71,-0.07%,0.33%,6.37%,0.43%,5.02%,8.61%,Financials,-6.54,-16.72,-18.48,-12.07
"OIH","NYSE",378.99,0.50%,243767,388.08,0.63,-0.33%,-6.70%,-7.03%,16.25%,33.09%,60.57%,Energy,-5.54,0.58,9.65,19.19
"XHB","NYSE",108.25,-2.30%,2185137,2681.12,0.82,-0.33%,-1.45%,5.75%,-4.95%,5.14%,5.71%,Consumer Discretionary,0.20,10.35,0.28,14.04
"PAVE","CBOE",56.30,-0.85%,1186587,1898.79,0.62,-0.69%,-3.76%,4.59%,11.07%,17.81%,24.06%,Infrastructure,2.30,8.01,17.92,23.33
"INDA","CBOE",48.91,0.45%,5864351,6284.39,0.93,-0.79%,-1.01%,-2.18%,-8.15%,-9.51%,-11.09%,,-0.64,8.80,-21.20,-25.47
"CNBS","NYSE",26.22,1.83%,4391,12.79,0.34,-1.09%,-7.20%,9.12%,-12.13%,-7.57%,58.38%,Cannabis Based Businesses,-5.09,-14.00,-22.38,-20.97
"MAGS","CBOE",66.91,-1.78%,6322576,4160.05,1.52,-1.14%,0.74%,2.45%,2.97%,1.44%,17.82%,Technology,14.43,-6.02,2.56,44.54
"BOIL","NYSE",22.41,1.86%,2572532,4103.84,0.63,-1.19%,-20.90%,-16.88%,-31.97%,-51.07%,-76.83%,,44.04,-5.04,-34.78,109.56
"BETZ","NYSE",19.18,-0.99%,16601,40.49,0.41,-1.60%,-3.53%,-0.21%,-3.81%,-8.59%,-21.67%,Consumer Discretionary,1.43,-4.93,-13.42,-28.84
"IHI","NYSE",50.51,-3.24%,5116401,2833.87,1.81,-1.62%,1.20%,-5.11%,-19.25%,-18.73%,-15.77%,Healthcare,-1.93,1.31,-7.47,-17.87
"TAN","NYSE",53.90,-0.52%,608299,1469.77,0.41,-1.93%,-11.03%,-1.08%,4.68%,9.73%,41.95%,Green Investing,-8.59,8.76,47.96,66.75
"EWZ","NYSE",35.23,-0.28%,13548509,24922.64,0.54,-1.95%,2.38%,-15.05%,6.24%,10.89%,27.66%,,-4.92,-10.89,25.58,39.99
"XBI","NYSE",154.26,1.49%,11572838,8924.46,1.30,-3.00%,13.98%,13.88%,21.64%,26.52%,75.06%,Healthcare,9.31,5.98,6.38,18.96
"ITA","CBOE",230.73,-0.07%,725092,852.14,0.85,-3.48%,-3.67%,0.74%,-3.52%,7.47%,17.80%,Industrials,-0.77,-3.77,-1.18,26.23
"COPX","NYSE",73.35,-1.78%,2234538,3798.02,0.59,-4.17%,-18.31%,-14.92%,-10.97%,2.17%,66.63%,Materials,-0.87,4.01,53.84,121.61
"ICLN","NASD",18.37,0.11%,4327594,6046.61,0.72,-4.57%,-11.77%,-5.06%,5.82%,11.81%,36.68%,Green Investing,-8.35,15.71,20.60,29.42
"JETS","NYSE",30.46,-2.53%,3256210,3670.73,0.89,-5.08%,-0.56%,14.38%,7.25%,8.51%,21.35%,Industrials,-9.61,-18.28,-8.43,-29.14
"SIL","NYSE",71.74,-0.24%,821708,1593.38,0.52,-6.04%,-19.60%,-26.18%,-24.36%,-14.10%,47.04%,Materials,-0.63,-6.65,-10.62,22.07
"RING","NASD",60.92,-0.80%,1081779,485.09,2.23,-6.12%,-19.04%,-27.63%,-26.89%,-17.27%,40.99%,Materials,4.66,-14.37,-11.42,5.10
"ARKK","CBOE",75.20,-1.92%,5798071,7428.36,0.78,-6.29%,-4.91%,-2.77%,-9.62%,-2.24%,-1.36%,Innovation / Patent Based,-14.50,-10.18,-10.65,-17.36
"BLOK","NYSE",58.53,-1.86%,170417,318.17,0.54,-6.59%,-11.57%,-0.27%,-8.56%,2.88%,-4.44%,Fintech,-3.65,-2.48,-5.26,-5.23
"BOTZ","NASD",34.40,-3.18%,1189204,1002.81,1.19,-6.80%,-9.19%,-6.29%,-9.47%,-5.05%,3.55%,Robotics & Automation,0.83,3.78,7.81,12.97
"UFO","NASD",43.63,-0.11%,774749,1352.68,0.57,-7.03%,-14.92%,-20.24%,-4.65%,12.88%,38.64%,Space Exploration & Technology,-24.27,78.04,924.99,
"IPO","NYSE",52.78,-0.75%,18631,40.74,0.46,-8.32%,-7.90%,9.72%,10.30%,15.62%,17.55%,,-2.65,3.09,0.27,-5.09
"WISE","NASD",33.87,-1.17%,5424,11.24,0.48,-8.56%,-15.78%,-8.56%,-17.63%,-13.07%,-12.07%,Robotics & Automation,-9.83,-17.56,-17.56,-4.73
"SMH","NASD",556.53,-2.18%,22083883,10753.20,2.05,-8.92%,-9.65%,22.37%,43.31%,54.54%,90.78%,Technology,3.32,6.19,13.99,19.45
"URA","NYSE",38.73,-0.97%,2592397,3828.67,0.68,-9.87%,-19.09%,-29.93%,-26.35%,-9.36%,-4.18%,Materials,-0.08,0.53,18.00,51.80
"IGPT","NYSE",88.47,-1.42%,240413,189.50,1.27,-10.60%,-11.49%,26.82%,42.49%,48.76%,77.26%,Robotics & Automation,11.99,24.13,26.35,34.90
