"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"AGL","NYSE","Agilon Health Inc","Healthcare","Medical Care Facilities",1635.01,98.00,-2.26%,247714,406.38,0.61,-24.52%,-8.38%,272.34%,288.12%,469.19%,89.37%,8.98%,87.58%,1672.24%,-7.33%,,-2.69%,67.88%,7.34%,-14.84%,-5.45%,140.80%
"PSNL","NASD","Personalis Inc","Healthcare","Diagnostics & Research",1257.53,11.78,-3.60%,2900374,3861.56,0.75,-23.46%,3.70%,99.66%,4.71%,47.99%,75.56%,8.16%,-13.00%,-60.02%,-24.91%,9.40%,0.37%,61.14%,15.43%,-15.50%,4.08%,31.64%
"WOLF","NYSE","Wolfspeed Inc","Technology","Semiconductors",1200.04,23.09,-11.06%,6213925,7452.10,0.83,-22.75%,-49.66%,-16.19%,20.39%,32.62%,-89.17%,9.49%,-272.59%,-64.54%,-18.99%,,14.09%,87.46%,71.97%,-35.00%,-52.14%,-19.54%
"QH","NASD","Quhuo Ltd","Technology","Software - Application",16743.74,5.38,15.95%,89655,628.85,0.14,-22.59%,-27.49%,46.91%,-83.58%,-85.99%,-99.89%,24.23%,,-667.94%,28.69%,,,0.00%,,-22.29%,-17.18%,-87.62%
"RPD","NASD","Rapid7 Inc","Technology","Software - Infrastructure",634.22,9.49,-0.73%,1349527,2368.22,0.57,-22.21%,34.04%,64.19%,-27.56%,-37.57%,-57.88%,8.78%,-25.20%,-48.48%,-0.27%,-7.72%,-3.25%,93.05%,12.34%,-9.87%,11.45%,-11.19%
"KPTI","NASD","Karyopharm Therapeutics Inc","Healthcare","Biotechnology",167.93,7.41,4.51%,900248,493.12,1.83,-22.08%,-18.75%,-15.31%,11.60%,0.68%,67.27%,17.12%,77.24%,55.38%,16.83%,55.85%,14.82%,77.16%,32.22%,-20.15%,-17.92%,-2.80%
"PTRN","NASD","Pattern Group Inc","Technology","Software - Application",3921.12,22.17,-5.62%,1722501,1967.28,0.88,-21.13%,1.74%,67.19%,53.74%,92.11%,,6.80%,140.97%,83.13%,43.18%,,4.72%,14.59%,11.98%,-17.21%,-0.89%,41.22%
"AKTX","NASD","Akari Therapeutics Plc ADR","Healthcare","Biotechnology",9.92,8.70,-6.45%,28115,794.70,0.04,-20.98%,-19.11%,45.00%,-18.96%,-24.74%,-80.23%,18.83%,61.27%,-75.83%,,44.90%,50.13%,14.02%,1.44%,-23.72%,-25.57%,-33.98%
"ALOY","NASD","REalloys Inc","Basic Materials","Other Industrial Metals & Mining",483.19,7.03,-5.96%,3135255,2421.25,1.29,-20.93%,-57.86%,-18.60%,-42.75%,-13.22%,-3.77%,10.92%,-86.67%,-746.70%,20.26%,,56.87%,4.16%,9.49%,-37.87%,-41.87%,-35.38%
"TNXP","NASD","Tonix Pharmaceuticals Holding Corp","Healthcare","Biotechnology",157.50,9.88,-6.97%,715382,509.88,1.40,-20.51%,-18.35%,-20.90%,-48.03%,-36.75%,-77.91%,8.77%,31.07%,-3.28%,183.16%,42.40%,10.80%,39.41%,22.56%,-17.51%,-19.34%,-34.63%
"GLSI","NASD","Greenwich LifeSciences Inc","Healthcare","Biotechnology",190.52,12.98,-1.59%,113814,156.86,0.73,-20.47%,-39.70%,-45.16%,-44.91%,-38.22%,12.97%,15.72%,-13.06%,-56.99%,,,14.26%,11.78%,19.86%,-29.85%,-41.69%,-35.64%
"EDSA","NASD","Edesa Biotech Inc","Healthcare","Biotechnology",50.57,5.25,-7.24%,51682,483.52,0.11,-20.45%,-33.96%,-22.57%,254.73%,269.72%,118.75%,11.27%,-30.71%,-64.74%,,-10.64%,1.68%,39.08%,3.68%,-23.51%,-31.34%,8.27%
"SEDG","NASD","Solaredge Technologies Inc","Technology","Solar",2590.86,42.60,-5.63%,2150592,3439.88,0.63,-20.33%,-14.35%,-10.05%,23.34%,47.66%,49.63%,7.99%,101.59%,44.08%,41.47%,,-5.06%,101.86%,17.97%,-18.75%,-26.29%,0.15%
"STDN","NYSE","Standard Nuclear Inc","Basic Materials","Specialty Chemicals",1333.56,8.30,-5.47%,1352699,2318.85,0.58,-20.19%,,,,-38.52%,,15.27%,,,,,,,,-13.75%,-13.75%,-13.75%
