"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"FBRX","NASD","Forte Biosciences Inc","Healthcare","Biotechnology",1159.72,56.63,11.63%,530472,480.25,1.10,28.27%,209.79%,72.44%,86.22%,107.66%,442.95%,12.20%,15.63%,9.65%,,3.98%,17.23%,58.71%,10.60%
"FWRD","NASD","Forward Air Corp","Industrials","Integrated Freight & Logistics",508.21,16.07,-0.86%,848257,1411.54,0.60,27.34%,17.21%,-30.43%,-40.61%,-35.72%,-42.19%,8.34%,55.59%,34.99%,-5.09%,,-7.57%,80.17%,9.60%
"CDNA","NASD","Caredx Inc","Healthcare","Diagnostics & Research",1951.70,37.78,-1.97%,1030515,897.81,1.15,26.99%,50.82%,82.25%,87.03%,100.53%,190.17%,6.89%,61.04%,128.24%,38.99%,38.15%,-0.53%,95.73%,17.85%
"DSGR","NASD","Distribution Solutions Group Inc","Industrials","Industrial Distribution",1537.69,34.51,-0.01%,240120,118.00,2.03,25.58%,22.20%,28.29%,18.92%,25.99%,20.75%,0.93%,338.89%,-88.23%,3.76%,,-0.58%,14.71%,6.03%
"ANL","NASD","Adlai Nortye Ltd ADR","Healthcare","Biotechnology",455.35,13.26,2.00%,180011,237.32,0.76,24.74%,27.50%,-16.92%,616.76%,833.80%,755.48%,15.62%,19.82%,,,-6.54%,12.10%,24.24%,10.72%
"PLSE","NASD","Pulse Biosciences Inc","Healthcare","Medical Instruments & Supplies",2267.31,32.76,8.26%,592129,339.81,1.74,24.47%,27.42%,36.61%,136.88%,138.60%,116.09%,8.16%,-51.54%,-9.23%,,-6.05%,16.77%,11.49%,15.41%
"CNSP","NASD","Cns Pharmaceuticals Inc","Healthcare","Biotechnology",8.48,5.80,7.61%,8419,1427.78,0.01,23.93%,35.51%,135.77%,-20.22%,10.48%,-34.24%,8.86%,95.38%,61.43%,,62.53%,1.95%,9.96%,2.50%
"ARWR","NASD","Arrowhead Pharmaceuticals Inc","Healthcare","Biotechnology",12494.01,88.70,19.03%,6988335,2107.42,3.32,23.50%,8.17%,24.84%,35.88%,33.60%,492.91%,4.76%,-31241.67%,-133.83%,-86.41%,,5.04%,85.63%,6.36%
"CIFR","NASD","Cipher Digital Inc","Technology","Information Technology Services",10005.35,24.46,6.86%,24369404,25576.05,0.95,23.10%,-13.08%,35.59%,36.50%,65.72%,252.45%,11.92%,57.79%,-161.05%,-28.84%,,0.67%,61.66%,16.10%
"FEIM","NASD","Frequency Electronics Inc","Technology","Communication Equipment",714.50,72.39,-9.34%,303014,221.97,1.37,22.14%,3.81%,32.36%,28.85%,34.45%,185.11%,14.46%,1270.37%,-245.43%,-22.96%,,5.95%,73.09%,8.72%
"HELP","NASD","Helus Pharma Inc","Healthcare","Biotechnology",484.68,7.82,-3.46%,2048832,1258.24,1.63,20.12%,61.24%,58.62%,1.82%,-4.40%,1.16%,8.63%,36.75%,8.35%,,36.86%,-8.61%,29.80%,6.15%
"CUE","NASD","Cue Biopharma Inc","Healthcare","Biotechnology",143.65,34.20,2.21%,120517,528.52,0.23,20.04%,11.29%,70.15%,281.40%,273.28%,26.81%,13.84%,20.95%,78.25%,1250.59%,,-1.08%,13.28%,9.14%
