"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"NBIS","NASD","Nebius Group NV","Technology","Software - Infrastructure",64171.53,255.04,-1.60%,36016373,20898.92,1.72,34.32%,27.83%,23.05%,187.82%,204.69%,261.09%,10.96%,-21.49%,-127.74%,454.04%,,16.06%,62.32%,29.79%,27.03%,15.03%,75.05%,-0.17%
"SMCI","NASD","Super Micro Computer Inc","Technology","Computer Hardware",25331.54,39.16,4.12%,121970201,55745.17,2.19,33.29%,45.63%,22.37%,22.22%,33.79%,-15.00%,6.87%,15.54%,418.57%,93.16%,18.32%,7.87%,65.07%,16.23%,31.31%,26.47%,22.86%,2.30%
"ACHR","NYSE","Archer Aviation Inc","Industrials","Aerospace & Defense",5367.07,6.97,10.81%,61349849,44161.85,1.39,33.27%,45.82%,6.90%,0.00%,-7.31%,-31.67%,10.91%,-31.49%,5.34%,,-0.84%,-5.19%,50.27%,14.14%,31.26%,33.45%,3.70%,12.24%
"RPD","NASD","Rapid7 Inc","Technology","Software - Infrastructure",928.79,13.78,12.31%,2149325,2480.10,0.87,32.76%,12.49%,122.98%,86.72%,-9.34%,-35.37%,10.28%,-13.54%,-30.64%,-1.55%,-5.21%,-4.48%,96.30%,11.96%,27.43%,44.49%,35.85%,11.13%
"QNRX","NASD","Quoin Pharmaceuticals Ltd ADR","Healthcare","Biotechnology",11.86,6.05,2.72%,36450,238.40,0.15,32.39%,43.71%,2.37%,-24.56%,-58.07%,-15.74%,9.56%,57.06%,98.87%,,58.47%,21.48%,68.83%,,30.77%,33.49%,-28.10%,4.49%
"FSLY","NASD","Fastly Inc","Technology","Software - Application",4782.19,30.02,5.22%,4713650,6404.38,0.74,32.36%,50.10%,63.95%,222.45%,194.89%,314.64%,11.66%,303.76%,61.59%,23.27%,73.85%,16.87%,89.74%,15.28%,29.81%,47.01%,71.23%,5.22%
"FIGS","NYSE","Figs Inc","Consumer Cyclical","Apparel Manufacturing",2465.52,14.84,2.91%,2476081,3228.83,0.77,32.03%,49.30%,21.54%,41.06%,30.63%,113.22%,8.16%,79.94%,253.77%,28.81%,24.88%,2.88%,92.35%,13.29%,30.41%,32.80%,23.66%,2.63%
"OMER","NASD","Omeros Corp","Healthcare","Biotechnology",1255.72,17.35,26.55%,13414031,1931.52,6.94,31.94%,67.31%,20.65%,54.50%,1.02%,306.32%,4.83%,1880.00%,134.01%,,,-3.40%,46.28%,22.09%,44.79%,61.26%,54.45%,4.20%
"WIX","NASD","Wix.com Ltd","Technology","Software - Infrastructure",3350.47,80.06,16.45%,4627581,1871.78,2.47,31.50%,50.40%,44.72%,11.04%,-22.94%,-33.69%,6.87%,-34.77%,-283.72%,14.93%,7.03%,6.19%,146.72%,21.64%,35.71%,53.51%,0.73%,15.79%
"BRUN","NASD","Boost Run Inc","Technology","Software - Infrastructure",1723.04,22.55,1.71%,3486007,1908.51,1.83,31.18%,-12.12%,7.38%,100.44%,78.40%,119.79%,10.48%,134.90%,-101.12%,,,90.35%,18.69%,13.37%,8.74%,-17.97%,30.29%,0.58%
"OPRX","NASD","OptimizeRx Corp","Healthcare","Health Information Services",164.76,8.78,24.72%,1124438,399.40,2.82,30.27%,32.03%,78.64%,-4.88%,-28.38%,-49.34%,5.51%,-13.14%,-146.40%,-29.77%,,-3.99%,71.47%,8.47%,31.11%,45.85%,-3.97%,28.74%
"ADV","NASD","Advantage Solutions Inc","Communication Services","Advertising Agencies",423.00,32.99,6.08%,114253,142.00,0.80,30.19%,-12.17%,-5.61%,121.74%,49.95%,-29.05%,16.29%,63.48%,-106.89%,1.80%,,-5.87%,21.64%,12.25%,-7.70%,-13.41%,15.48%,4.93%
"VEEE","NASD","Twin Vee PowerCats Co","Consumer Cyclical","Recreational Vehicles",6.87,11.96,-4.32%,95786,2228.87,0.04,30.14%,-55.02%,67.27%,-73.06%,-81.42%,-84.23%,24.05%,,84.25%,-34.22%,,30.25%,3.72%,7.19%,-21.88%,3.75%,-63.39%,3.55%
"NN","NASD","NextNav Inc","Technology","Software - Infrastructure",3293.48,19.51,1.46%,2769894,2797.27,0.99,30.07%,31.03%,-7.23%,17.89%,17.25%,31.38%,14.43%,63.03%,50.10%,-4.33%,,-0.91%,67.17%,20.06%,35.40%,16.74%,17.67%,0.77%
"ARCT","NASD","Arcturus Therapeutics Holdings Inc","Healthcare","Biotechnology",223.41,7.86,3.42%,563063,490.63,1.15,29.28%,23.00%,-4.84%,6.22%,28.22%,-59.08%,9.61%,-41.56%,-147.28%,-96.41%,-13.91%,-0.78%,85.27%,27.67%,24.52%,16.13%,6.42%,3.42%
"TWLO","NYSE","Twilio Inc","Technology","Software - Infrastructure",38304.73,249.42,1.14%,2151644,2461.04,0.87,29.10%,17.91%,29.49%,125.84%,75.35%,145.23%,6.61%,21.20%,4659.40%,22.03%,16.59%,-1.06%,90.43%,2.82%,20.09%,20.68%,61.11%,0.82%
"DOCS","NYSE","Doximity Inc","Healthcare","Health Information Services",4739.56,26.59,6.40%,5058800,5567.59,0.91,28.70%,19.45%,13.68%,2.43%,-39.95%,-58.47%,16.45%,-11.10%,-52.02%,7.34%,6.30%,-4.85%,68.42%,19.78%,18.58%,23.00%,-15.74%,6.77%
"PUBM","NASD","PubMatic Inc","Technology","Software - Application",787.33,17.28,0.58%,975688,643.32,1.52,28.19%,25.22%,82.28%,162.61%,94.81%,103.65%,5.82%,67.47%,76.36%,10.55%,,1.70%,61.94%,5.97%,22.68%,32.32%,77.12%,-0.63%
